SITE,DATE,Date,WEIR-REP,Watershed,Sample,,Sample Location 
Hubbard Brook ,10/28/2019,10/28/2019,HBK-02,hbk,ST191237,,
Hubbard Brook ,11/4/2019,11/4/2019,HBK-02,hbk,ST191277,,
Hubbard Brook ,11/11/2019,11/11/2019,HBK-02,hbk,ST191317,,
Hubbard Brook ,11/18/2019,11/18/2019,HBK-02,hbk,,NS,
Hubbard Brook ,11/25/2019,11/25/2019,HBK-02,hbk,,NS,
Hubbard Brook ,12/3/2019,12/3/2019,HBK-02,hbk,,NS,
Hubbard Brook ,3/25/2019,3/25/2019,HBK-03,hbk,,NS,
Hubbard Brook ,4/1/2019,4/1/2019,HBK-03,hbk,,NS,
Hubbard Brook ,4/8/2019,4/8/2019,HBK-03,hbk,,NS,
Hubbard Brook ,4/15/2019,4/15/2019,HBK-03,hbk,,NS,
Hubbard Brook ,4/22/2019,4/22/2019,HBK-03,hbk,,NS,
Hubbard Brook ,4/29/2019,4/29/2019,HBK-03,hbk,,NS,
Hubbard Brook ,5/6/2019,5/6/2019,HBK-03,hbk,ST190238,,
Hubbard Brook ,5/13/2019,5/13/2019,HBK-03,hbk,ST190278,,
Hubbard Brook ,5/20/2019,5/20/2019,HBK-03,hbk,ST190318,,
Hubbard Brook ,5/28/2019,5/28/2019,HBK-03,hbk,ST190358,,
Hubbard Brook ,6/2/2019,6/2/2019,HBK-03,hbk,ST190398,,
Hubbard Brook ,6/10/2019,6/10/2019,HBK-03,hbk,ST190438,,
Hubbard Brook ,6/17/2019,6/17/2019,HBK-03,hbk,ST190478,,
Hubbard Brook ,6/24/2019,6/24/2019,HBK-03,hbk,ST190518,,
Hubbard Brook ,7/1/2019,7/1/2019,HBK-03,hbk,ST190558,,
Hubbard Brook ,7/8/2019,7/8/2019,HBK-03,hbk,ST190598,,
Hubbard Brook ,7/15/2019,7/15/2019,HBK-03,hbk,ST190638,,
Hubbard Brook ,7/22/2019,7/22/2019,HBK-03,hbk,ST190678,,
Hubbard Brook ,7/29/2019,7/29/2019,HBK-03,hbk,ST190718,,
Hubbard Brook ,8/5/2019,8/5/2019,HBK-03,hbk,ST190758,,
Hubbard Brook ,8/12/2019,8/12/2019,HBK-03,hbk,ST190798,,
Hubbard Brook ,8/19/2019,8/19/2019,HBK-03,hbk,ST190838,,
Hubbard Brook ,8/26/2019,8/26/2019,HBK-03,hbk,ST190878,,
Hubbard Brook ,9/3/2019,9/3/2019,HBK-03,hbk,ST190918,,
Hubbard Brook ,9/9/2019,9/9/2019,HBK-03,hbk,ST190958,,
Hubbard Brook ,9/16/2019,9/16/2019,HBK-03,hbk,ST191998,,
Hubbard Brook ,9/23/2019,9/23/2019,HBK-03,hbk,ST191038,,
Hubbard Brook ,9/30/2019,9/30/2019,HBK-03,hbk,ST191078,,
Hubbard Brook ,10/7/2019,10/7/2019,HBK-03,hbk,ST191118,,
Hubbard Brook ,10/15/2019,10/15/2019,HBK-03,hbk,ST191158,,
Hubbard Brook ,10/21/2019,10/21/2019,HBK-03,hbk,ST191198,,
Hubbard Brook ,10/28/2019,10/28/2019,HBK-03,hbk,ST191238,,
Hubbard Brook ,11/4/2019,11/4/2019,HBK-03,hbk,ST191278,,
Hubbard Brook ,11/11/2019,11/11/2019,HBK-03,hbk,ST191318,,
Hubbard Brook ,11/18/2019,11/18/2019,HBK-03,hbk,,NS,
Hubbard Brook ,11/25/2019,11/25/2019,HBK-03,hbk,,NS,
Hubbard Brook ,12/3/2019,12/3/2019,HBK-03,hbk,,NS,
Hubbard Brook ,3/25/2019,3/25/2019,HBK-04,hbk,,NS,
Hubbard Brook ,4/1/2019,4/1/2019,HBK-04,hbk,,NS,
Hubbard Brook ,4/8/2019,4/8/2019,HBK-04,hbk,,NS,
Hubbard Brook ,4/15/2019,4/15/2019,HBK-04,hbk,,NS,
Hubbard Brook ,4/22/2019,4/22/2019,HBK-04,hbk,,NS,
Hubbard Brook ,4/29/2019,4/29/2019,HBK-04,hbk,,NS,
Hubbard Brook ,5/6/2019,5/6/2019,HBK-04,hbk,ST190239,,
Hubbard Brook ,5/13/2019,5/13/2019,HBK-04,hbk,ST190279,,
Hubbard Brook ,5/20/2019,5/20/2019,HBK-04,hbk,ST190319,,
Hubbard Brook ,5/28/2019,5/28/2019,HBK-04,hbk,ST190359,,
Hubbard Brook ,6/2/2019,6/2/2019,HBK-04,hbk,ST190399,,
Hubbard Brook ,6/10/2019,6/10/2019,HBK-04,hbk,ST190439,,
